client_order_id,symbol,side,quantity,order_type,status,limit_price
2016-10-04-0011,MAT,BUY,306,MARKET,FILLED,
2016-10-04-0012,NEM,BUY,19,MARKET,FILLED,
2016-10-04-0013,XYL,BUY,176,MARKET,FILLED,
2016-11-02-0001,ADSK,SELL,131,MARKET,FILLED,
2016-11-02-0002,AYI,SELL,35,MARKET,FILLED,
2016-11-02-0003,DHR,SELL,3,MARKET,FILLED,
2016-11-02-0004,DLR,SELL,100,MARKET,FILLED,
2016-11-02-0005,MAT,SELL,306,MARKET,FILLED,
2016-11-02-0006,NEM,SELL,22,MARKET,FILLED,
2016-11-02-0007,CHTR,BUY,36,MARKET,FILLED,
2016-11-02-0008,EW,BUY,293,MARKET,FILLED,
2016-11-02-0009,HPE,BUY,703,MARKET,FILLED,
2016-11-02-0010,OKE,BUY,189,MARKET,FILLED,
2016-11-02-0011,XYL,BUY,13,MARKET,FILLED,
2016-12-02-0001,ALB,SELL,5,MARKET,FILLED,
2016-12-02-0002,AMAT,SELL,17,MARKET,FILLED,
2016-12-02-0003,CHTR,SELL,36,MARKET,FILLED,
2016-12-02-0004,EW,SELL,293,MARKET,FILLED,
2016-12-02-0005,HPE,SELL,38,MARKET,FILLED,
2016-12-02-0006,OKE,SELL,24,MARKET,FILLED,
2016-12-02-0007,TSN,SELL,125,MARKET,FILLED,
2016-12-02-0008,XYL,SELL,189,MARKET,FILLED,
2016-12-02-0009,FCX,BUY,601,MARKET,FILLED,
2016-12-02-0010,NEM,BUY,42,MARKET,FILLED,
2016-12-02-0011,ULTA,BUY,33,MARKET,FILLED,
2016-12-02-0012,URBN,BUY,285,MARKET,FILLED,
2016-12-02-0013,WYNN,BUY,91,MARKET,FILLED,
2017-01-04-0001,ALB,SELL,105,MARKET,FILLED,
2017-01-04-0002,AMAT,SELL,18,MARKET,FILLED,
2017-01-04-0003,DHR,SELL,4,MARKET,FILLED,
2017-01-04-0004,HPE,SELL,665,MARKET,FILLED,
2017-01-04-0005,NEM,SELL,19,MARKET,FILLED,
2017-01-04-0006,OKE,SELL,13,MARKET,FILLED,
2017-01-04-0007,ULTA,SELL,33,MARKET,FILLED,
2017-01-04-0008,URBN,SELL,285,MARKET,FILLED,
2017-01-04-0009,WYNN,SELL,91,MARKET,FILLED,
2017-01-04-0010,CMI,BUY,64,MARKET,FILLED,
2017-01-04-0011,FCX,BUY,35,MARKET,FILLED,
2017-01-04-0012,JCI,BUY,211,MARKET,FILLED,
2017-01-04-0013,MLM,BUY,40,MARKET,FILLED,
2017-01-04-0014,NUE,BUY,150,MARKET,FILLED,
2017-01-04-0015,PWR,BUY,256,MARKET,FILLED,
2017-02-02-0001,AMAT,SELL,15,MARKET,FILLED,
2017-02-02-0002,CMI,SELL,64,MARKET,FILLED,
2017-02-02-0003,DHR,SELL,2,MARKET,FILLED,
2017-02-02-0004,FCX,SELL,79,MARKET,FILLED,
2017-02-02-0005,JCI,SELL,211,MARKET,FILLED,
2017-02-02-0006,MLM,SELL,40,MARKET,FILLED,
2017-02-02-0007,NEM,SELL,257,MARKET,FILLED,
2017-02-02-0008,NUE,SELL,150,MARKET,FILLED,
2017-02-02-0009,MU,BUY,378,MARKET,FILLED,
2017-02-02-0010,NAVI,BUY,621,MARKET,FILLED,
2017-02-02-0011,OKE,BUY,19,MARKET,FILLED,
2017-02-02-0012,PWR,BUY,3,MARKET,FILLED,
2017-02-02-0013,RF,BUY,649,MARKET,FILLED,
2017-02-02-0014,URI,BUY,72,MARKET,FILLED,
2017-02-02-0015,ZION,BUY,221,MARKET,FILLED,
2017-03-02-0001,AMAT,SELL,265,MARKET,FILLED,
2017-03-02-0002,DHR,SELL,2,MARKET,FILLED,
2017-03-02-0003,NAVI,SELL,621,MARKET,FILLED,
2017-03-02-0004,PWR,SELL,259,MARKET,FILLED,
2017-03-02-0005,RF,SELL,50,MARKET,FILLED,
2017-03-02-0006,ZION,SELL,16,MARKET,FILLED,
2017-03-02-0007,CSX,BUY,583,MARKET,FILLED,
2017-03-02-0008,DVN,BUY,217,MARKET,FILLED,
2017-03-02-0009,FCX,BUY,129,MARKET,FILLED,
2017-03-02-0010,MU,BUY,6,MARKET,FILLED,
2017-03-02-0011,OKE,BUY,2,MARKET,FILLED,
2017-03-02-0012,WMB,BUY,332,MARKET,FILLED,
2017-04-04-0001,DVN,SELL,217,MARKET,FILLED,
2017-04-04-0002,FCX,SELL,686,MARKET,FILLED,
2017-04-04-0003,MU,SELL,56,MARKET,FILLED,
2017-04-04-0004,OKE,SELL,4,MARKET,FILLED,
2017-04-04-0005,WMB,SELL,19,MARKET,FILLED,
2017-04-04-0006,ZION,SELL,205,MARKET,FILLED,
2017-04-04-0007,AMD,BUY,652,MARKET,FILLED,
2017-04-04-0008,BAC,BUY,402,MARKET,FILLED,
2017-04-04-0009,CSX,BUY,18,MARKET,FILLED,
2017-04-04-0010,MS,BUY,219,MARKET,FILLED,
2017-04-04-0011,RF,BUY,46,MARKET,FILLED,
2017-04-04-0012,URI,BUY,3,MARKET,FILLED,
2017-05-02-0001,BAC,SELL,402,MARKET,FILLED,
2017-05-02-0002,CSX,SELL,601,MARKET,FILLED,
2017-05-02-0003,MS,SELL,219,MARKET,FILLED,
2017-05-02-0004,MU,SELL,5,MARKET,FILLED,
2017-05-02-0005,OKE,SELL,169,MARKET,FILLED,
2017-05-02-0006,RF,SELL,645,MARKET,FILLED,
2017-05-02-0007,WMB,SELL,313,MARKET,FILLED,
2017-05-02-0008,AMAT,BUY,218,MARKET,FILLED,
2017-05-02-0009,AMD,BUY,126,MARKET,FILLED,
2017-05-02-0010,DXC,BUY,138,MARKET,FILLED,
2017-05-02-0011,IDXX,BUY,55,MARKET,FILLED,
2017-05-02-0012,INCY,BUY,73,MARKET,FILLED,
2017-05-02-0013,STX,BUY,216,MARKET,FILLED,
2017-05-02-0014,URI,BUY,8,MARKET,FILLED,
2017-05-02-0015,WDC,BUY,137,MARKET,FILLED,
2017-06-02-0001,AMAT,SELL,14,MARKET,FILLED,
2017-06-02-0002,DXC,SELL,138,MARKET,FILLED,
2017-06-02-0003,INCY,SELL,73,MARKET,FILLED,
2017-06-02-0004,MU,SELL,17,MARKET,FILLED,
2017-06-02-0005,URI,SELL,83,MARKET,FILLED,
2017-06-02-0006,WDC,SELL,2,MARKET,FILLED,
2017-06-02-0007,AMD,BUY,83,MARKET,FILLED,
2017-06-02-0008,BBY,BUY,156,MARKET,FILLED,
2017-06-02-0009,CSX,BUY,515,MARKET,FILLED,
2017-06-02-0010,LRCX,BUY,598,MARKET,FILLED,
2017-06-02-0011,STX,BUY,3,MARKET,FILLED,
2017-07-05-0001,AMD,SELL,129,MARKET,FILLED,
2017-07-05-0002,BBY,SELL,3,MARKET,FILLED,
2017-07-05-0003,CSX,SELL,17,MARKET,FILLED,
2017-07-05-0004,DHR,SELL,124,MARKET,FILLED,
2017-07-05-0005,IDXX,SELL,55,MARKET,FILLED,
2017-07-05-0006,ADSK,BUY,90,MARKET,FILLED,
2017-07-05-0007,AMAT,BUY,14,MARKET,FILLED,
2017-07-05-0008,LRCX,BUY,45,MARKET,FILLED,
2017-07-05-0009,STX,BUY,13,MARKET,FILLED,
2017-07-05-0010,UAL,BUY,119,MARKET,FILLED,
2017-07-05-0011,WDC,BUY,4,MARKET,FILLED,
2017-08-02-0001,ADSK,SELL,8,MARKET,FILLED,
2017-08-02-0002,AMAT,SELL,218,MARKET,FILLED,
2017-08-02-0003,AMD,SELL,72,MARKET,FILLED,
2017-08-02-0004,LRCX,SELL,643,MARKET,FILLED,
2017-08-02-0005,STX,SELL,232,MARKET,FILLED,
2017-08-02-0006,UAL,SELL,119,MARKET,FILLED,
2017-08-02-0007,ALGN,BUY,53,MARKET,FILLED,
2017-08-02-0008,BAC,BUY,372,MARKET,FILLED,
2017-08-02-0009,CSX,BUY,67,MARKET,FILLED,
2017-08-02-0010,IDXX,BUY,58,MARKET,FILLED,
2017-08-02-0011,LUV,BUY,163,MARKET,FILLED,
2017-08-02-0012,MU,BUY,8,MARKET,FILLED,
2017-09-05-0001,ADSK,SELL,82,MARKET,FILLED,
2017-09-05-0002,ALGN,SELL,2,MARKET,FILLED,
2017-09-05-0003,BAC,SELL,372,MARKET,FILLED,
2017-09-05-0004,BBY,SELL,153,MARKET,FILLED,
2017-09-05-0005,CSX,SELL,15,MARKET,FILLED,
2017-09-05-0006,IDXX,SELL,58,MARKET,FILLED,
2017-09-05-0007,LUV,SELL,163,MARKET,FILLED,
2017-09-05-0008,MU,SELL,34,MARKET,FILLED,
2017-09-05-0009,WDC,SELL,6,MARKET,FILLED,
2017-09-05-0010,AMD,BUY,45,MARKET,FILLED,
2017-09-05-0011,BA,BUY,37,MARKET,FILLED,
2017-09-05-0012,FMC,BUY,119,MARKET,FILLED,
2017-09-05-0013,NFLX,BUY,524,MARKET,FILLED,
2017-09-05-0014,NRG,BUY,364,MARKET,FILLED,
2017-09-05-0015,RCL,BUY,73,MARKET,FILLED,
2017-10-03-0001,ALGN,SELL,1,MARKET,FILLED,
2017-10-03-0002,CSX,SELL,550,MARKET,FILLED,
2017-10-03-0003,MU,SELL,44,MARKET,FILLED,
2017-10-03-0004,WDC,SELL,133,MARKET,FILLED,
2017-10-03-0005,AMD,BUY,34,MARKET,FILLED,
2017-10-03-0006,FMC,BUY,2,MARKET,FILLED,
2017-10-03-0007,LRCX,BUY,504,MARKET,FILLED,
2017-10-03-0008,RCL,BUY,5,MARKET,FILLED,
2017-10-03-0009,VRTX,BUY,61,MARKET,FILLED,
2017-11-02-0001,ALGN,SELL,9,MARKET,FILLED,
2017-11-02-0002,LRCX,SELL,22,MARKET,FILLED,
2017-11-02-0003,MU,SELL,14,MARKET,FILLED,
2017-11-02-0004,NFLX,SELL,524,MARKET,FILLED,
2017-11-02-0005,RCL,SELL,78,MARKET,FILLED,
2017-11-02-0006,AMAT,BUY,175,MARKET,FILLED,
2017-11-02-0007,AMD,BUY,161,MARKET,FILLED,
2017-11-02-0008,FMC,BUY,2,MARKET,FILLED,
2017-11-02-0009,NRG,BUY,14,MARKET,FILLED,
2017-11-02-0010,URI,BUY,68,MARKET,FILLED,
2017-11-02-0011,VRTX,BUY,7,MARKET,FILLED,
2017-12-04-0001,ALGN,SELL,3,MARKET,FILLED,
2017-12-04-0002,AMD,SELL,900,MARKET,FILLED,
2017-12-04-0003,BA,SELL,37,MARKET,FILLED,
2017-12-04-0004,FMC,SELL,123,MARKET,FILLED,
2017-12-04-0005,NRG,SELL,20,MARKET,FILLED,
2017-12-04-0006,URI,SELL,68,MARKET,FILLED,
2017-12-04-0007,ADBE,BUY,55,MARKET,FILLED,
2017-12-04-0008,ADSK,BUY,92,MARKET,FILLED,
2017-12-04-0009,AMAT,BUY,16,MARKET,FILLED,
2017-12-04-0010,ISRG,BUY,74,MARKET,FILLED,
2017-12-04-0011,LRCX,BUY,44,MARKET,FILLED,
2017-12-04-0012,MU,BUY,15,MARKET,FILLED,
2017-12-04-0013,PYPL,BUY,132,MARKET,FILLED,
2017-12-04-0014,VRTX,BUY,2,MARKET,FILLED,
2018-01-03-0001,ADBE,SELL,55,MARKET,FILLED,
2018-01-03-0002,ADSK,SELL,92,MARKET,FILLED,
2018-01-03-0003,AMAT,SELL,191,MARKET,FILLED,
2018-01-03-0004,MU,SELL,13,MARKET,FILLED,
2018-01-03-0005,NRG,SELL,14,MARKET,FILLED,
2018-01-03-0006,VRTX,SELL,5,MARKET,FILLED,
2018-01-03-0007,ALGN,BUY,6,MARKET,FILLED,
2018-01-03-0008,DHI,BUY,194,MARKET,FILLED,
2018-01-03-0009,ISRG,BUY,5,MARKET,FILLED,
2018-01-03-0010,PHM,BUY,297,MARKET,FILLED,
2018-01-03-0011,PYPL,BUY,2,MARKET,FILLED,
2018-01-03-0012,WYNN,BUY,60,MARKET,FILLED,
2018-02-02-0001,ALGN,SELL,4,MARKET,FILLED,
2018-02-02-0002,ISRG,SELL,79,MARKET,FILLED,
2018-02-02-0003,LRCX,SELL,526,MARKET,FILLED,
2018-02-02-0004,PHM,SELL,297,MARKET,FILLED,
2018-02-02-0005,PYPL,SELL,6,MARKET,FILLED,
2018-02-02-0006,VRTX,SELL,6,MARKET,FILLED,
2018-02-02-0007,ABBV,BUY,86,MARKET,FILLED,
2018-02-02-0008,BA,BUY,28,MARKET,FILLED,
2018-02-02-0009,CAT,BUY,62,MARKET,FILLED,
2018-02-02-0010,DHI,BUY,17,MARKET,FILLED,
2018-02-02-0011,MU,BUY,15,MARKET,FILLED,
2018-02-02-0012,NRG,BUY,40,MARKET,FILLED,
2018-03-02-0001,CAT,SELL,62,MARKET,FILLED,
2018-03-02-0002,DHI,SELL,211,MARKET,FILLED,
2018-03-02-0003,MU,SELL,239,MARKET,FILLED,
2018-03-02-0004,NRG,SELL,384,MARKET,FILLED,
2018-03-02-0005,PYPL,SELL,2,MARKET,FILLED,
2018-03-02-0006,WYNN,SELL,60,MARKET,FILLED,
2018-03-02-0007,BBY,BUY,131,MARKET,FILLED,
2018-03-02-0008,CPRI,BUY,157,MARKET,FILLED,
2018-03-02-0009,ISRG,BUY,71,MARKET,FILLED,
2018-03-02-0010,KORS,BUY,157,MARKET,FILLED,
2018-03-02-0011,NFLX,BUY,344,MARKET,FILLED,
2018-03-02-0012,VRTX,BUY,1,MARKET,FILLED,
2018-04-03-0001,ALGN,SELL,2,MARKET,FILLED,
2018-04-03-0002,BBY,SELL,131,MARKET,FILLED,
2018-04-03-0003,CPRI,SELL,6,MARKET,FILLED,
2018-04-03-0004,ISRG,SELL,71,MARKET,FILLED,
2018-04-03-0005,KORS,SELL,157,MARKET,FILLED,
2018-04-03-0006,NFLX,SELL,15,MARKET,FILLED,
2018-04-03-0007,VRTX,SELL,60,MARKET,FILLED,
2018-04-03-0008,ABBV,BUY,15,MARKET,FILLED,
2018-04-03-0009,AMZN,BUY,135,MARKET,FILLED,
2018-04-03-0010,IPGP,BUY,41,MARKET,FILLED,
2018-04-03-0011,NKTR,BUY,6,MARKET,FILLED,
2018-04-03-0012,TTWO,BUY,97,MARKET,FILLED,
2018-05-02-0001,ABBV,SELL,101,MARKET,FILLED,
2018-05-02-0002,AMZN,SELL,135,MARKET,FILLED,
2018-05-02-0003,CPRI,SELL,4,MARKET,FILLED,
2018-05-02-0004,NFLX,SELL,16,MARKET,FILLED,
2018-05-02-0005,PYPL,SELL,126,MARKET,FILLED,
2018-05-02-0006,TTWO,SELL,97,MARKET,FILLED,
2018-05-02-0007,BA,BUY,1,MARKET,FILLED,
2018-05-02-0008,EL,BUY,69,MARKET,FILLED,
2018-05-02-0009,KSS,BUY,157,MARKET,FILLED,
2018-05-02-0010,MU,BUY,212,MARKET,FILLED,
2018-05-02-0011,NKTR,BUY,1,MARKET,FILLED,
2018-05-02-0012,NRG,BUY,318,MARKET,FILLED,
2018-06-04-0001,ALGN,SELL,7,MARKET,FILLED,
2018-06-04-0002,EL,SELL,69,MARKET,FILLED,
2018-06-04-0003,IPGP,SELL,41,MARKET,FILLED,
2018-06-04-0004,KSS,SELL,157,MARKET,FILLED,
2018-06-04-0005,MU,SELL,212,MARKET,FILLED,
2018-06-04-0006,NFLX,SELL,21,MARKET,FILLED,
2018-06-04-0007,NRG,SELL,9,MARKET,FILLED,
2018-06-04-0008,ANDV,BUY,70,MARKET,FILLED,
2018-06-04-0009,CPRI,BUY,30,MARKET,FILLED,
2018-06-04-0010,KORS,BUY,177,MARKET,FILLED,
2018-06-04-0011,NKTR,BUY,4,MARKET,FILLED,
2018-06-04-0012,NTAP,BUY,152,MARKET,FILLED,
2018-06-04-0013,VLO,BUY,84,MARKET,FILLED,
2018-07-03-0001,ANDV,SELL,70,MARKET,FILLED,
2018-07-03-0002,CPRI,SELL,177,MARKET,FILLED,
2018-07-03-0003,KORS,SELL,177,MARKET,FILLED,
2018-07-03-0004,NFLX,SELL,30,MARKET,FILLED,
2018-07-03-0005,NTAP,SELL,152,MARKET,FILLED,
2018-07-03-0006,ADBE,BUY,42,MARKET,FILLED,
2018-07-03-0007,BA,BUY,1,MARKET,FILLED,
2018-07-03-0008,KSS,BUY,145,MARKET,FILLED,
2018-07-03-0009,MU,BUY,191,MARKET,FILLED,
2018-07-03-0010,NKTR,BUY,3,MARKET,FILLED,
2018-07-03-0011,NRG,BUY,27,MARKET,FILLED,
2018-07-03-0012,RL,BUY,82,MARKET,FILLED,
2018-07-03-0013,VLO,BUY,10,MARKET,FILLED,
2018-08-02-0001,ADBE,SELL,42,MARKET,FILLED,
2018-08-02-0002,ALGN,SELL,2,MARKET,FILLED,
2018-08-02-0003,BA,SELL,30,MARKET,FILLED,
2018-08-02-0004,KSS,SELL,145,MARKET,FILLED,
2018-08-02-0005,NKTR,SELL,1,MARKET,FILLED,
2018-08-02-0006,NRG,SELL,336,MARKET,FILLED,
2018-08-02-0007,RL,SELL,82,MARKET,FILLED,
2018-08-02-0008,VLO,SELL,94,MARKET,FILLED,
2018-08-02-0009,CPRI,BUY,159,MARKET,FILLED,
2018-08-02-0010,CPRT,BUY,724,MARKET,FILLED,
2018-08-02-0011,GWW,BUY,30,MARKET,FILLED,
2018-08-02-0012,KORS,BUY,159,MARKET,FILLED,
2018-08-02-0013,MU,BUY,10,MARKET,FILLED,
2018-08-02-0014,NFLX,BUY,47,MARKET,FILLED,
2018-08-02-0015,NTAP,BUY,133,MARKET,FILLED,
2018-08-02-0016,STX,BUY,198,MARKET,FILLED,
2018-09-05-0001,CPRI,SELL,159,MARKET,FILLED,
2018-09-05-0002,CPRT,SELL,22,MARKET,FILLED,
2018-09-05-0003,KORS,SELL,159,MARKET,FILLED,
2018-09-05-0004,MU,SELL,201,MARKET,FILLED,
2018-09-05-0005,NKTR,SELL,2,MARKET,FILLED,
2018-09-05-0006,NTAP,SELL,4,MARKET,FILLED,
2018-09-05-0007,AMZN,BUY,111,MARKET,FILLED,
2018-09-05-0008,GWW,BUY,1,MARKET,FILLED,
2018-09-05-0009,KSS,BUY,138,MARKET,FILLED,
2018-09-05-0010,M,BUY,315,MARKET,FILLED,
2018-09-05-0011,NFLX,BUY,6,MARKET,FILLED,
2018-09-05-0012,STX,BUY,32,MARKET,FILLED,
2018-10-02-0001,ALGN,SELL,2,MARKET,FILLED,
2018-10-02-0002,AMZN,SELL,3,MARKET,FILLED,
2018-10-02-0003,GWW,SELL,1,MARKET,FILLED,
2018-10-02-0004,KSS,SELL,138,MARKET,FILLED,
2018-10-02-0005,M,SELL,315,MARKET,FILLED,
2018-10-02-0006,NFLX,SELL,34,MARKET,FILLED,
2018-10-02-0007,NTAP,SELL,4,MARKET,FILLED,
2018-10-02-0008,STX,SELL,230,MARKET,FILLED,
2018-10-02-0009,ADBE,BUY,39,MARKET,FILLED,
2018-10-02-0010,AMD,BUY,351,MARKET,FILLED,
2018-10-02-0011,CPRT,BUY,122,MARKET,FILLED,
2018-10-02-0012,ILMN,BUY,30,MARKET,FILLED,
2018-10-02-0013,NKTR,BUY,1,MARKET,FILLED,
2018-11-02-0001,ADBE,SELL,39,MARKET,FILLED,
2018-11-02-0002,ALGN,SELL,27,MARKET,FILLED,
2018-11-02-0003,AMZN,SELL,108,MARKET,FILLED,
2018-11-02-0004,CPRT,SELL,824,MARKET,FILLED,
2018-11-02-0005,ILMN,SELL,30,MARKET,FILLED,
2018-11-02-0006,NFLX,SELL,4,MARKET,FILLED,
2018-11-02-0007,NTAP,SELL,14,MARKET,FILLED,
2018-11-02-0008,AAP,BUY,53,MARKET,FILLED,
2018-11-02-0009,AMD,BUY,76,MARKET,FILLED,
2018-11-02-0010,FTNT,BUY,538,MARKET,FILLED,
2018-11-02-0011,HCA,BUY,64,MARKET,FILLED,
2018-11-02-0012,KSS,BUY,114,MARKET,FILLED,
