security_id,seed_key,historical_ticker,pit_start,pit_end,pit_intervals,identity_status,market_data_status,vendor_symbol,price_start,price_end,coverage_days,expected_days,coverage_ratio,quality_status,reason,confidence,rebalance_encountered,local_listing_csv,notes
,,STJ,1996-01-02,2017-01-05,1996-01-02→2017-01-05,UNRESOLVED,missing,STJ,,,0,735,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,SWN,2008-06-06,2017-04-04,2008-06-06→2017-04-04,UNRESOLVED,missing,SWN,,,0,824,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,SWY,1998-11-13,2015-01-27,1998-11-13→2015-01-27,UNRESOLVED,missing,SWY,,,0,26,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,SYMC,2003-03-31,2019-11-05,2003-03-31→2019-11-05,UNRESOLVED,missing,SYMC,,,0,1769,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,TGNA,1996-01-02,2017-06-02,1996-01-02→2017-06-02,UNRESOLVED,missing,TGNA,,,0,883,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,TIF,2000-06-21,2021-01-07,2000-06-21→2021-01-07,UNRESOLVED,missing,TIF,,,0,2198,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,globe-life,TMK,1996-01-02,2019-08-08,1996-01-02→2019-08-08,RESOLVED,available_other_ticker,GL,2013-07-08,2025-12-31,1680,1680,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as GL.
,,TSS,2008-01-02,2019-09-23,2008-01-02→2019-09-23,UNRESOLVED,missing,TSS,,,0,1726,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,TWC,2009-03-30,2016-05-18,2009-03-30→2016-05-18,UNRESOLVED,missing,TWC,,,0,503,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,TWTR,2018-06-07,2022-11-01,2018-06-07→2022-11-01,UNRESOLVED,missing,TWTR,,,0,1608,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,rtx-corporation,UTX,1996-01-02,2020-04-03,1996-01-02→2020-04-03,RESOLVED,available_other_ticker,RTX,2013-07-08,2025-12-31,1919,1919,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as RTX.
,,VAR,2007-02-12,2021-04-20,2007-02-12→2021-04-20,UNRESOLVED,missing,VAR,,,0,2301,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,VIAB,2006-01-03,2019-12-05,2006-01-03→2019-12-05,UNRESOLVED,missing,VIAB,,,0,1799,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,VIAC,2019-12-05,2022-02-17,2019-12-05→2022-02-17,UNRESOLVED,missing,VIAC,,,0,805,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,WBA,1996-01-02,2025-08-28,1996-01-02→2025-08-28,UNRESOLVED,missing,WBA,,,0,3892,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,WCG,2018-09-17,2020-01-28,2018-09-17→2020-01-28,UNRESOLVED,missing,WCG,,,0,498,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,WFM,2006-01-03,2017-08-28,2006-01-03→2017-08-28,UNRESOLVED,missing,WFM,,,0,970,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,WIN,2006-07-18,2015-04-07,2006-07-18→2015-04-07,UNRESOLVED,missing,WIN,,,0,96,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,wtw-plc,WLTW,2016-01-05,2022-01-10,2016-01-05→2022-01-10,RESOLVED,available_other_ticker,WTW,2013-07-08,2025-12-31,2197,2197,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as WTW.
,,WRK,2015-07-02,2024-07-08,2015-07-02→2024-07-08,UNRESOLVED,missing,WRK,,,0,3294,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,WYND,2006-08-01,2018-05-31,2006-08-01→2018-05-31,UNRESOLVED,missing,WYND,,,0,1246,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,XEC,2014-06-20,2020-03-03,2014-06-20→2020-03-03,UNRESOLVED,missing,XEC,,,0,1888,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,XL,2001-09-04,2018-09-12,2001-09-04→2018-09-12,UNRESOLVED,missing,XL,,,0,1350,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,XLNX,1999-11-08,2022-02-15,1999-11-08→2022-02-15,UNRESOLVED,missing,XLNX,,,0,2602,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
