security_id,seed_key,historical_ticker,pit_start,pit_end,pit_intervals,identity_status,market_data_status,vendor_symbol,price_start,price_end,coverage_days,expected_days,coverage_ratio,quality_status,reason,confidence,rebalance_encountered,local_listing_csv,notes
,,CTLT,2020-09-21,2024-12-23,2020-09-21→2024-12-23,UNRESOLVED,missing,CTLT,,,0,1554,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CTRA,2021-10-04,2026-05-07,2021-10-04→2026-05-07,UNRESOLVED,missing,CTRA,,,0,1550,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CTXS,1999-12-01,2022-10-03,1999-12-01→2022-10-03,UNRESOLVED,missing,CTXS,,,0,2832,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CVC,2010-12-20,2016-06-21,2010-12-20→2016-06-21,UNRESOLVED,missing,CVC,,,0,537,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,CXO,2016-02-22,2021-01-21,2016-02-22→2021-01-21,UNRESOLVED,missing,CXO,,,0,1795,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DAY,2024-02-01,2026-02-09,2024-02-01→2026-02-09,UNRESOLVED,missing,DAY,,,0,700,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DFS,2007-07-02,2025-05-19,2007-07-02→2025-05-19,UNRESOLVED,missing,DFS,,,0,3791,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DISCA,2010-03-01,2022-04-11,2010-03-01→2022-04-11,UNRESOLVED,missing,DISCA,,,0,2657,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DISCK,2014-08-07,2022-04-11,2014-08-07→2022-04-11,UNRESOLVED,missing,DISCK,,,0,2657,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DISH,2017-03-13,2023-06-20,2017-03-13→2023-06-20,UNRESOLVED,missing,DISH,,,0,2290,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DNB,2008-12-02,2017-04-05,2008-12-02→2017-04-05,UNRESOLVED,missing,DNB,,,0,825,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DNR,2009-04-02,2015-03-23,2009-04-02→2015-03-23,UNRESOLVED,missing,DNR,,,0,81,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,DO,2009-02-26,2016-10-03,2009-02-26→2016-10-03,UNRESOLVED,missing,DO,,,0,641,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DRE,2017-07-26,2022-10-03,2017-07-26→2022-10-03,UNRESOLVED,missing,DRE,,,0,1895,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,DTV,2006-12-04,2015-07-27,2006-12-04→2015-07-27,UNRESOLVED,missing,DTV,,,0,207,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,DWDP,2017-09-01,2019-06-03,2017-09-01→2019-06-03,UNRESOLVED,missing,DWDP,,,0,640,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,EA,2002-07-22,,2002-07-22→open,UNRESOLVED,missing,EA,,,0,4018,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ENDP,2015-01-27,2017-03-02,2015-01-27→2017-03-02,UNRESOLVED,missing,ENDP,,,0,765,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,EQR,2001-12-03,,2001-12-03→open,UNRESOLVED,missing,EQR,,,0,4018,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ESV,2012-07-31,2016-03-30,2012-07-31→2016-03-30,UNRESOLVED,missing,ESV,,,0,454,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ETFC,2004-04-01,2020-10-07,2004-04-01→2020-10-07,UNRESOLVED,missing,ETFC,,,0,2106,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,FBHS,2016-06-24,2022-12-19,2016-06-24→2022-12-19,UNRESOLVED,missing,FBHS,,,0,2369,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,FDO,2001-08-06,2015-07-07,2001-08-06→2015-07-07,UNRESOLVED,missing,FDO,,,0,187,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,fiserv,FI,2023-06-07,2025-11-11,2023-06-07→2025-11-11,RESOLVED,available_other_ticker,FISV,2013-07-08,2025-12-31,888,888,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as FISV.
,,FL,2016-04-04,2019-08-09,2016-04-04→2019-08-09,UNRESOLVED,missing,FL,,,0,1222,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,FLIR,2009-01-02,2021-05-14,2009-01-02→2021-05-14,UNRESOLVED,missing,FLIR,,,0,2325,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,corpay,FLT,2018-06-20,2024-03-25,2018-06-20→2024-03-25,RESOLVED,available_other_ticker,CPAY,2013-07-08,2025-12-31,2105,2105,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as CPAY.
,,FRC,2019-01-02,2023-05-04,2019-01-02→2023-05-04,UNRESOLVED,missing,FRC,,,0,1583,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,FTR,2001-02-27,2017-03-20,2001-02-27→2017-03-20,UNRESOLVED,missing,FTR,,,0,809,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,GAS,2011-12-13,2016-07-01,2011-12-13→2016-07-01,UNRESOLVED,missing,GAS,,,0,547,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,GGP,2013-12-10,2018-08-28,2013-12-10→2018-08-28,UNRESOLVED,missing,GGP,,,0,1335,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,GMCR,2014-03-24,2016-03-03,2014-03-24→2016-03-03,UNRESOLVED,missing,GMCR,,,0,427,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,GPS,1996-01-02,2022-02-02,1996-01-02→2022-02-02,UNRESOLVED,missing,GPS,,,0,2589,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,HBI,2015-03-23,2021-12-20,2015-03-23→2021-12-20,UNRESOLVED,missing,HBI,,,0,2464,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,HCBK,2007-02-15,2015-11-02,2007-02-15→2015-11-02,UNRESOLVED,missing,HCBK,,,0,305,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,HCP,2008-03-31,2019-11-05,2008-03-31→2019-11-05,UNRESOLVED,missing,HCP,,,0,1769,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,HES,1996-01-02,2025-07-23,1996-01-02→2025-07-23,UNRESOLVED,missing,HES,,,0,3856,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,HFC,2018-06-18,2021-06-04,2018-06-18→2021-06-04,UNRESOLVED,missing,HFC,,,0,1082,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,HOLX,2016-03-30,2026-04-09,2016-03-30→2026-04-09,UNRESOLVED,missing,HOLX,,,0,3564,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,l3harris,HRS,2008-09-22,2019-06-01,2008-09-22→2019-06-01,RESOLVED,available_other_ticker,LHX,2013-07-08,2025-12-31,1612,1612,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as LHX.
,,HSP,2004-05-03,2015-09-03,2004-05-03→2015-09-03,UNRESOLVED,missing,HSP,,,0,245,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,IPG,1996-01-02,2025-11-28,1996-01-02→2025-11-28,UNRESOLVED,missing,IPG,,,0,3984,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
